䤹 鎪
䤱 誓
䤯 鉶
䤫 鑱
䤟 鈂
䤞 鈗
䤜 鈍
䤚 李
䤈 醯
䤇 醙
䤄 湎
䣱 酗
䣰 醵
䣧 黓
䣣 䣊
䣞 鄂
䣖 䣕
䣃 卸
䢽 巷
䢶 邦
䢵 鄖
䢰 趯
䢬 遷
䢫 隨
䢪 橇
䢣 遙
䢠 送
䢜 歸
䢛 迥
䢚 迒
䢐 徂
䢊 遊
䡿 軨
䡥 䡆
䡹 輊
䡏 鞃
䡌 鞃
䡇 軏
䡅 輴
䠹 骸
䠪 躖
䠧 躇
䠰 踡
䠞 蹙
䠓 趥
䠊 剕
䠁 躋
䟽 疏
䟱 跡
䟞 躕
䟎 趲
䞸 踣
䞳 踣
䞰 䟄
䞬 透
䞜 踣
䞓 赬
䝿 貴
䝾 賦
䝲 贐
䞅 貽
䝮 衒
䝥 嗥
䝠 獂
䝜 狻
䝗 貅
䝎 貒
䝈 豟
䝇 豗
䝂 豎
䜿 豎
䛻 誘
䛺 誡
䛶 誄
䛮 倃
䛟 唊
䛛 詯
䛒 辯
䛑 謐
䚺 謠
䚹 庀
䚲 訕
䚱 信
䚟 䚞
䛦 訟
䚓 瞫
䚑 䁲
䠲 聆
䙺 覝
䙴 䙲
䙰 褵
䙭 褰
䘺 綻
䘜 巾
䘊 蠛
䘈 蠣
䘇 蚊
䘆 蜸
䘃 蟔
䘂 䘋
䘀 蛗
䗾 蜆
䗹 蛓
䗶 蠟
䗦 蜂
蟍 䖿
䖽 蜊
䖥 蟊
䖕 虘
䖏 處
䖍 虔
䖋 虐
䖈 虐
䖅 蘦
䕺 藂
䕹 蓵
䕯 薸
䕮 菊
䕬 薑
䕫 夔
䕨 藤
䕚 蕢
䕘 苓
䕖 蓀
䕕 蔓
䕏 莪
䕌 稚
䕃 蔭
䔰 葍
䔛 檾
䔖 蔆
䔍 篤
䓏 芣
䓍 蔊
䒳 朵
䒱 蒸
䒭 等
䒣 苒
䒒 芀
䒑 艸
䑧 䒀
䑡 艖
䑟 葟
䑞 舜
䑝 斝
䑕 鼠
䑓 臺
䑑 僕
䐡 臍
䐖 㕧
䏮 脅
䏗 䐴
䐰 饈
䏍 肙
䏋 肅
䏊 聾
䏈 聯
䎾 睔
䎣 耜
䎍 䎔
䍹 羶
䍯 觤
䍭 牂
䍧 牂
䍞 罭
䍖 罦
䌱 䌴
䌫 纜
䌳 絁
䌕 縻
䌌 緁
䌉 綱
䌄 綆
䋍 䋪
䋧 絇
䋡 紓
䋠 補
䋝 纓
䋓 縐
䋒 紓
䋁 綆
䊹 牽
䊸 紆
䊶 紖
䊯 穬
䊪 糲
䊡 饅
䊠 餼
䊜 糰
䊚 䭔
䭗 䭘
䊘 䅢
䊒 精
䊑 餉
䊐 餛
䊋 妝
䉱 䉩
蕟 䉬
䉫 筣
䉙 篔
䈥 筋
䈔 笳
簤 䈆
䈄 筨
䇟 腱
䇕 䇓
䆩 冥
䆤 穿
䆠 宦
䆒 究
䆐 國
䆋 秋
䆈 稚
䅹 耬
䅶 耨
䅇 粟
䄭 年
䄬 移
䄫 芑
䄩 䴬
䄕 社
䄒 稔
䄏 祅
䃻 壩
䃲 磐
䃩 硇
䃣 毀
䃢 嶔
䃜 瑿
䃘 硜
䃖 塢
䂝 矺
䂄 矆
䁹 睥
䁦 覷
䁑 眻
䁁 䀶
䀆 盡
㿶 幫
㿡 兜
㿔 癗
㿍 疥
㿋 瘙
㿈 癰
㿂 癥
㾽 膇
㽗 畝
㾱 癈
㾶 尳
㾮 癀
㾬 痎
㾗 䀶
㽵 莊
㽣 域
㽜 畹
㽍 坩
㼜 盎
㼛 鈃
㼚 缸
㼙 甃
㼄 璣
㼂 璵
㻗 琲
㻰 璏
㻮 璨
㻭 璱
㻆 琄
㻄 寶
㺷 珬
㺳 玫
㺲 鈕
㷱 熊
㺯 弄
㺮 玗
㹻 猧
㹷 狶
㹯 貅
㹪 狦
㹖 豢
㹅 總
㸾 牣
㸽 牬
㸼 犎
㸷 觢
㸱 㸰
㸬 牬
㸫 犍
㸤 辨
㸘 萬
㸕 攫
㸔 看
㸏 爢
㸋 膰
㸉 燮
㸈 焦
㸄 齌
㸃 點
㸁 熯
㸀 炱
䏻 能
㷭 烽
㷩 熙
㷦 瞁
㷥 烝
㷛 煲
㷙 煎
㷗 燛
㷖 照
㷔 焰
㷓 熜
㷐 燬
㷊 焚
㶤 炒
㶜 淵
㵼 瀉
冩 寫
渒 㵺
㵳 漻
㵲 潕
㵰 漵
㵥 㴵
㵚 滏
㵙 清
㵕 滲
㵏 漼
㵎 澗
㵆 澔
㵄 漢
㴾 渤
㴻 澍
㴮 㴽
㴩 灉
㴠 涵
㴞 滔
㴕 潗
㴇 涉
㴅 消
㴃 淚
㳿 渫
㳺 游
㳑 溢
㳈 沛
㳔 濧
㳃 淬
㲷 氮
㲵 霄
㲩 毾
㲘 氍
㲒 菢
㲊 叡
㲇 鼕
㲄 玨
㱨 殮
㱩 殰
㱘 魘
㱉 㗼
㱅 懿
㰱 歃
㰦 呿
㰞 嗤
㰗 槭
㰖 欖
㰏 篙
㰎 檇
㰍 櫳
㰉 榛
㰇 櫼
㰆 鞴
㰅 樀
㯽 檳
㯶 棕
㯳 檠
㯰 植
㯣 棻
㯟 麓
㯚 榙
㯐 橢
㯍 槳
㯌 椽
㯈 樕
㯇 梐
㮺 本
㮸 送
㮵 栴
㮳 栚
㮡 爟
㮞 楶
㮚 栗
㮌 棉
㭻 棠
棏 㭙
㭋 棒
㭊 析
㭃 綱
䨅 鷯
㬙 暐
㬜 晉
㬠 晒
㬩 暳
㬫 曣
㬭 皭
㬱 替
㬲 添
㫯 㒻
㫩 春
㫦 㫞
㫤 昶
㫡 冬
㫗 厚
㫖 旨
㫕 光
㫔 艮
㫚 昒
㫋 旃
㫄 旁
㫁 斷
㪸 斟
㪷 斗
㪶 斛
